Tag|Name|Keyword|VR|VM|Status
00081060|NameOfPhysician(S)ReadingStudy|Name​Of​Physicians​Reading​Study|PN|1-n|
00081062|Physician(S)ReadingStudyIdentificationSequence|Physicians​Reading​Study​Identification​Sequence|SQ|1|
00081070|Operators'Name|Operators​Name|PN|1-n|
00081072|OperatorIdentificationSequence|Operator​Identification​Sequence|SQ|1|
00081080|AdmittingDiagnosesDescription|Admitting​Diagnoses​Description|LO|1-n|
00081084|AdmittingDiagnosesCodeSequence|Admitting​Diagnoses​Code​Sequence|SQ|1|
00081088|PyramidDescription|Pyramid​Description|LO|1|
00081090|Manufacturer'SModelName|Manufacturer​Model​Name|LO|1|
00081100|ReferencedResultsSequence|Referenced​Results​Sequence|SQ|1|RET (2004)
00081110|ReferencedStudySequence|Referenced​Study​Sequence|SQ|1|
00081111|ReferencedPerformedProcedureStepSequence|Referenced​Performed​Procedure​Step​Sequence|SQ|1|
00081115|ReferencedSeriesSequence|Referenced​Series​Sequence|SQ|1|
00081120|ReferencedPatientSequence|Referenced​Patient​Sequence|SQ|1|
00081125|ReferencedVisitSequence|Referenced​Visit​Sequence|SQ|1|
00081130|ReferencedOverlaySequence|Referenced​Overlay​Sequence|SQ|1|RET (2004)
00081134|ReferencedStereometricInstanceSequence|Referenced​Stereometric​Instance​Sequence|SQ|1|
0008113A|ReferencedWaveformSequence|Referenced​Waveform​Sequence|SQ|1|
00081140|ReferencedImageSequence|Referenced​Image​Sequence|SQ|1|
00081145|ReferencedCurveSequence|Referenced​Curve​Sequence|SQ|1|RET (2004)
0008114A|ReferencedInstanceSequence|Referenced​Instance​Sequence|SQ|1|
0008114B|ReferencedRealWorldValueMappingInstanceSequence|Referenced​Real​World​Value​Mapping​Instance​Sequence|SQ|1|
00081150|ReferencedSopClassUid|Referenced​SOP​Class​UID|UI|1|
00081155|ReferencedSopInstanceUid|Referenced​SOP​Instance​UID|UI|1|
00081156|DefinitionSourceSequence|Definition​Source​Sequence|SQ|1|
0008115A|SopClassesSupported|SOP​Classes​Supported|UI|1-n|
00081160|ReferencedFrameNumber|Referenced​Frame​Number|IS|1-n|
00081161|SimpleFrameList|Simple​Frame​List|UL|1-n|
00081162|CalculatedFrameList|Calculated​Frame​List|UL|3-3n|
00081163|TimeRange|Time​Range|FD|2|
00081164|FrameExtractionSequence|Frame​Extraction​Sequence|SQ|1|
00081167|Multi-FrameSourceSopInstanceUid|Multi​Frame​Source​SOP​Instance​UID|UI|1|
00081190|RetrieveUrl|Retrieve​URL|UR|1|
00081195|TransactionUid|Transaction​UID|UI|1|
00081196|WarningReason|Warning​Reason|US|1|
00081197|FailureReason|Failure​Reason|US|1|
00081198|FailedSopSequence|Failed​SOP​Sequence|SQ|1|
00081199|ReferencedSopSequence|Referenced​SOP​Sequence|SQ|1|
0008119A|OtherFailuresSequence|Other​Failures​Sequence|SQ|1|
00081200|StudiesContainingOtherReferencedInstancesSequence|Studies​Containing​Other​Referenced​Instances​Sequence|SQ|1|
00081250|RelatedSeriesSequence|Related​Series​Sequence|SQ|1|
00082110|LossyImageCompression(Retired)|Lossy​Image​Compression​Retired|CS|1|RET (1993)
00082111|DerivationDescription|Derivation​Description|ST|1|
00082112|SourceImageSequence|Source​Image​Sequence|SQ|1|
00082120|StageName|Stage​Name|SH|1|
00082122|StageNumber|Stage​Number|IS|1|
00082124|NumberOfStages|Number​Of​Stages|IS|1|
00082127|ViewName|View​Name|SH|1|
00082128|ViewNumber|View​Number|IS|1|
00082129|NumberOfEventTimers|Number​Of​Event​Timers|IS|1|
0008212A|NumberOfViewsInStage|Number​Of​Views​In​Stage|IS|1|
00082130|EventElapsedTime(S)|Event​Elapsed​Times|DS|1-n|
00082132|EventTimerName(S)|Event​Timer​Names|LO|1-n|
00082133|EventTimerSequence|Event​Timer​Sequence|SQ|1|
00082134|EventTimeOffset|Event​Time​Offset|FD|1|
00082135|EventCodeSequence|Event​Code​Sequence|SQ|1|
00082142|StartTrim|Start​Trim|IS|1|
00082143|StopTrim|Stop​Trim|IS|1|
00082144|RecommendedDisplayFrameRate|Recommended​Display​Frame​Rate|IS|1|
00082200|TransducerPosition|Transducer​Position|CS|1|RET (1993)
00082204|TransducerOrientation|Transducer​Orientation|CS|1|RET (1993)
00082208|AnatomicStructure|Anatomic​Structure|CS|1|RET (1993)
00082218|AnatomicRegionSequence|Anatomic​Region​Sequence|SQ|1|
00082220|AnatomicRegionModifierSequence|Anatomic​Region​Modifier​Sequence|SQ|1|
00082228|PrimaryAnatomicStructureSequence|Primary​Anatomic​Structure​Sequence|SQ|1|
00082229|AnatomicStructure,SpaceOrRegionSequence|Anatomic​Structure​Space​Or​Region​Sequence|SQ|1|RET (2017c)
00082230|PrimaryAnatomicStructureModifierSequence|Primary​Anatomic​Structure​Modifier​Sequence|SQ|1|
00082240|TransducerPositionSequence|Transducer​Position​Sequence|SQ|1|RET (2004)
00082242|TransducerPositionModifierSequence|Transducer​Position​Modifier​Sequence|SQ|1|RET (2004)
00082244|TransducerOrientationSequence|Transducer​Orientation​Sequence|SQ|1|RET (2004)
00082246|TransducerOrientationModifierSequence|Transducer​Orientation​Modifier​Sequence|SQ|1|RET (2004)
00082251|AnatomicStructureSpaceOrRegionCodeSequence(Trial)|Anatomic​Structure​Space​Or​Region​Code​Sequence​Trial|SQ|1|RET (2007)
00082253|AnatomicPortalOfEntranceCodeSequence(Trial)|Anatomic​Portal​Of​Entrance​Code​Sequence​Trial|SQ|1|RET (2007)
00082255|AnatomicApproachDirectionCodeSequence(Trial)|Anatomic​Approach​Direction​Code​Sequence​Trial|SQ|1|RET (2007)
00082256|AnatomicPerspectiveDescription(Trial)|Anatomic​Perspective​Description​Trial|ST|1|RET (2007)
00082257|AnatomicPerspectiveCodeSequence(Trial)|Anatomic​Perspective​Code​Sequence​Trial|SQ|1|RET (2007)
00082258|AnatomicLocationOfExaminingInstrumentDescription(Trial)|Anatomic​Location​Of​Examining​Instrument​Description​Trial|ST|1|RET (2007)
00082259|AnatomicLocationOfExaminingInstrumentCodeSequence(Trial)|Anatomic​Location​Of​Examining​Instrument​Code​Sequence​Trial|SQ|1|RET (2007)
0008225A|AnatomicStructureSpaceOrRegionModifierCodeSequence(Trial)|Anatomic​Structure​Space​Or​Region​Modifier​Code​Sequence​Trial|SQ|1|RET (2007)
0008225C|OnAxisBackgroundAnatomicStructureCodeSequence(Trial)|On​Axis​Background​Anatomic​Structure​Code​Sequence​Trial|SQ|1|RET (2007)
00083001|AlternateRepresentationSequence|Alternate​Representation​Sequence|SQ|1|
00083002|AvailableTransferSyntaxUid|Available​Transfer​Syntax​UID|UI|1-n|
00083010|IrradiationEventUid|Irradiation​Event​UID|UI|1-n|
00083011|SourceIrradiationEventSequence|Source​Irradiation​Event​Sequence|SQ|1|
00083012|RadiopharmaceuticalAdministrationEventUid|Radiopharmaceutical​Administration​Event​UID|UI|1|
00084000|IdentifyingComments|Identifying​Comments|LT|1|RET
00089007|FrameType|Frame​Type|CS||
00089092|ReferencedImageEvidenceSequence|Referenced​Image​Evidence​Sequence|SQ|1|
00089121|ReferencedRawDataSequence|Referenced​Raw​Data​Sequence|SQ|1|
00089123|Creator-VersionUid|Creator​Version​UID|UI|1|
00089124|DerivationImageSequence|Derivation​Image​Sequence|SQ|1|
00089154|SourceImageEvidenceSequence|Source​Image​Evidence​Sequence|SQ|1|
00089205|PixelPresentation|Pixel​Presentation|CS|1|
00089206|VolumetricProperties|Volumetric​Properties|CS|1|
00089207|VolumeBasedCalculationTechnique|Volume​Based​Calculation​Technique|CS|1|
00089208|ComplexImageComponent|Complex​Image​Component|CS|1|
00089209|AcquisitionContrast|Acquisition​Contrast|CS|1|
00089215|DerivationCodeSequence|Derivation​Code​Sequence|SQ|1|
00089237|ReferencedPresentationStateSequence|Referenced​Presentation​State​Sequence|SQ|1|
00089410|ReferencedOtherPlaneSequence|Referenced​Other​Plane​Sequence|SQ|1|
00089458|FrameDisplaySequence|Frame​Display​Sequence|SQ|1|
00089459|RecommendedDisplayFrameRateInFloat|Recommended​Display​Frame​Rate​In​Float|FL|1|
00089460|SkipFrameRangeFlag|Skip​Frame​Range​Flag|CS|1|
00100010|Patient'SName|Patient​Name|PN|1|
00100020|PatientId|Patient​ID|LO|1|
00100021|IssuerOfPatientId|Issuer​Of​Patient​ID|LO|1|
00100022|TypeOfPatientId|Type​Of​Patient​ID|CS|1|
00100024|IssuerOfPatientIdQualifiersSequence|Issuer​Of​Patient​ID​Qualifiers​Sequence|SQ|1|
00100026|SourcePatientGroupIdentificationSequence|Source​Patient​Group​Identification​Sequence|SQ|1|
00100027|GroupOfPatientsIdentificationSequence|Group​Of​Patients​Identification​Sequence|SQ|1|
00100028|SubjectRelativePositionInImage|Subject​Relative​Position​In​Image|US|3|
00100030|Patient'SBirthDate|Patient​Birth​Date|DA|1|
00100032|Patient'SBirthTime|Patient​Birth​Time|TM|1|
00100033|Patient'SBirthDateInAlternativeCalendar|Patient​Birth​Date​In​Alternative​Calendar|LO|1|
00100034|Patient'SDeathDateInAlternativeCalendar|Patient​Death​Date​In​Alternative​Calendar|LO|1|
00100035|Patient'SAlternativeCalendar|Patient​Alternative​Calendar|CS|1|
00100040|Patient'SSex|Patient​Sex|CS|1|
00100050|Patient'SInsurancePlanCodeSequence|Patient​Insurance​Plan​Code​Sequence|SQ|1|
00100101|Patient'SPrimaryLanguageCodeSequence|Patient​Primary​Language​Code​Sequence|SQ|1|
00100102|Patient'SPrimaryLanguageModifierCodeSequence|Patient​Primary​Language​Modifier​Code​Sequence|SQ|1|
00100200|QualityControlSubject|Quality​Control​Subject|CS|1|
00100201|QualityControlSubjectTypeCodeSequence|Quality​Control​Subject​Type​Code​Sequence|SQ|1|
00100212|StrainDescription|Strain​Description|UC|1|
00100213|StrainNomenclature|Strain​Nomenclature|LO|1|
00100214|StrainStockNumber|Strain​Stock​Number|LO|1|
00100215|StrainSourceRegistryCodeSequence|Strain​Source​Registry​Code​Sequence|SQ|1|
00100216|StrainStockSequence|Strain​Stock​Sequence|SQ|1|
00100217|StrainSource|Strain​Source|LO|1|
00100218|StrainAdditionalInformation|Strain​Additional​Information|UT|1|
00100219|StrainCodeSequence|Strain​Code​Sequence|SQ|1|
00100221|GeneticModificationsSequence|Genetic​Modifications​​Sequence|SQ|1|
00100222|GeneticModificationsDescription|Genetic​Modifications​Description|UC|1|
00100223|GeneticModificationsNomenclature|Genetic​Modifications​Nomenclature|LO|1|
00100229|GeneticModificationsCodeSequence|Genetic​Modifications​Code​Sequence|SQ|1|
00101000|OtherPatientIds|Other​Patient​IDs|LO|1-n|RET (2017a)
00101001|OtherPatientNames|Other​Patient​Names|PN|1-n|
00101002|OtherPatientIdsSequence|Other​Patient​IDs​Sequence|SQ|1|
00101005|Patient'SBirthName|Patient​Birth​Name|PN|1|
00101010|Patient'SAge|Patient​Age|AS|1|
00101020|Patient'SSize|Patient​Size|DS|1|
00101021|Patient'SSizeCodeSequence|Patient​Size​Code​Sequence|SQ|1|
00101022|Patient'SBodyMassIndex|Patient​Body​Mass​Index|DS|1|
00101023|MeasuredApDimension|Measured​APDimension|DS|1|
00101024|MeasuredLateralDimension|Measured​Lateral​Dimension|DS|1|
00101030|Patient'SWeight|Patient​Weight|DS|1|
00101040|Patient'SAddress|Patient​Address|LO|1|
00101050|InsurancePlanIdentification|Insurance​Plan​Identification|LO|1-n|RET
00101060|Patient'SMother'SBirthName|Patient​Mother​Birth​Name|PN|1|
00101080|MilitaryRank|Military​Rank|LO|1|
00101081|BranchOfService|Branch​Of​Service|LO|1|
00101090|MedicalRecordLocator|Medical​Record​Locator|LO|1|RET (2017a)
00101100|ReferencedPatientPhotoSequence|Referenced​Patient​Photo​Sequence|SQ|1|
00102000|MedicalAlerts|Medical​Alerts|LO|1-n|
00102110|Allergies|Allergies|LO|1-n|
00102150|CountryOfResidence|Country​Of​Residence|LO|1|
00102152|RegionOfResidence|Region​Of​Residence|LO|1|
00102154|Patient'STelephoneNumbers|Patient​Telephone​Numbers|SH|1-n|
00102155|Patient'STelecomInformation|Patient​Telecom​Information​|LT|1|
00102160|EthnicGroup|Ethnic​Group|SH|1|
00102180|Occupation|Occupation|SH|1|
001021A0|SmokingStatus|Smoking​Status|CS|1|
001021B0|AdditionalPatientHistory|Additional​Patient​History|LT|1|
001021C0|PregnancyStatus|Pregnancy​Status|US|1|
001021D0|LastMenstrualDate|Last​Menstrual​Date|DA|1|
001021F0|Patient'SReligiousPreference|Patient​Religious​Preference|LO|1|
00102201|PatientSpeciesDescription|Patient​Species​Description|LO|1|
00102202|PatientSpeciesCodeSequence|Patient​Species​Code​Sequence|SQ|1|
00102203|Patient'SSexNeutered|Patient​Sex​Neutered|CS|1|
00102210|AnatomicalOrientationType|Anatomical​Orientation​Type|CS|1|
00102292|PatientBreedDescription|Patient​Breed​Description|LO|1|
00102293|PatientBreedCodeSequence|Patient​Breed​Code​Sequence|SQ|1|
00102294|BreedRegistrationSequence|Breed​Registration​Sequence|SQ|1|
00102295|BreedRegistrationNumber|Breed​Registration​Number|LO|1|
00102296|BreedRegistryCodeSequence|Breed​Registry​Code​Sequence|SQ|1|
00102297|ResponsiblePerson|Responsible​Person|PN|1|
00102298|ResponsiblePersonRole|Responsible​Person​Role|CS|1|
00102299|ResponsibleOrganization|Responsible​Organization|LO|1|
00104000|PatientComments|Patient​Comments|LT|1|
00109431|ExaminedBodyThickness|Examined​Body​Thickness|FL|1|
00120010|ClinicalTrialSponsorName|Clinical​Trial​Sponsor​Name|LO|1|
00120020|ClinicalTrialProtocolId|Clinical​Trial​Protocol​ID|LO|1|
00120021|ClinicalTrialProtocolName|Clinical​Trial​Protocol​Name|LO|1|
00120030|ClinicalTrialSiteId|Clinical​Trial​Site​ID|LO|1|
00120031|ClinicalTrialSiteName|Clinical​Trial​Site​Name|LO|1|
00120040|ClinicalTrialSubjectId|Clinical​Trial​Subject​ID|LO|1|
00120042|ClinicalTrialSubjectReadingId|Clinical​Trial​Subject​Reading​ID|LO|1|
00120050|ClinicalTrialTimePointId|Clinical​Trial​Time​Point​ID|LO|1|
00120051|ClinicalTrialTimePointDescription|Clinical​Trial​Time​Point​Description|ST|1|
00120052|LongitudinalTemporalOffsetFromEvent|Longitudinal​Temporal​Offset​From​Event|FD|1|
00120053|LongitudinalTemporalEventType|Longitudinal​Temporal​Event​Type|CS|1|
00120054|ClinicalTrialTimePointTypeCodeSequence|Clinical​Trial​Time​Point​Type​Code​Sequence|SQ|1|
00120060|ClinicalTrialCoordinatingCenterName|Clinical​Trial​Coordinating​Center​Name|LO|1|
00120062|PatientIdentityRemoved|Patient​Identity​Removed|CS|1|
00120063|De-IdentificationMethod|Deidentification​Method|LO|1-n|
00120064|De-IdentificationMethodCodeSequence|Deidentification​Method​Code​Sequence|SQ|1|
00120071|ClinicalTrialSeriesId|Clinical​Trial​Series​ID|LO|1|
00120072|ClinicalTrialSeriesDescription|Clinical​Trial​Series​Description|LO|1|
00120081|ClinicalTrialProtocolEthicsCommitteeName|Clinical​Trial​Protocol​Ethics​Committee​Name|LO|1|
00120082|ClinicalTrialProtocolEthicsCommitteeApprovalNumber|Clinical​Trial​Protocol​Ethics​Committee​Approval​Number|LO|1|
00120083|ConsentForClinicalTrialUseSequence|Consent​For​Clinical​Trial​Use​Sequence|SQ|1|
00120084|DistributionType|Distribution​Type|CS|1|
00120085|ConsentForDistributionFlag|Consent​For​Distribution​Flag|CS|1|
00120086|EthicsCommitteeApprovalEffectivenessStartDate|Ethics​Committee​Approval​Effectiveness​Start​Date|DA|1|
00120087|EthicsCommitteeApprovalEffectivenessEndDate|Ethics​Committee​Approval​Effectiveness​End​Date|DA|1|
00140023|CadFileFormat|CAD​File​Format|ST|1|RET (2011)
00140024|ComponentReferenceSystem|Component​Reference​System|ST|1|RET (2011)
00140025|ComponentManufacturingProcedure|Component​Manufacturing​Procedure|ST|1|DICONDE
00140028|ComponentManufacturer|Component​Manufacturer|ST|1|DICONDE
00140030|MaterialThickness|Material​Thickness|DS|1-n|DICONDE
00140032|MaterialPipeDiameter|Material​Pipe​Diameter|DS|1-n|DICONDE
00140034|MaterialIsolationDiameter|Material​Isolation​Diameter|DS|1-n|DICONDE
00140042|MaterialGrade|Material​Grade|ST|1|DICONDE
00140044|MaterialPropertiesDescription|Material​Properties​Description|ST|1|DICONDE
00140045|MaterialPropertiesFileFormat(Retired)|Material​Properties​File​Format​Retired|ST|1|RET (2011)
00140046|MaterialNotes|Material​Notes|LT|1|DICONDE
00140050|ComponentShape|Component​Shape|CS|1|DICONDE
00140052|CurvatureType|Curvature​Type|CS|1|DICONDE
00140054|OuterDiameter|Outer​Diameter|DS|1|DICONDE
00140056|InnerDiameter|Inner​Diameter|DS|1|DICONDE
00140100|ComponentWelderIds|Component​Welder​IDs|LO|1-n|DICONDE
